"","probe_ID","TE_Identity","Class","Family","SubFamily"
"437","ILMN_3244011","LINE:CR1:L3","LINE","CR1","L3"
"438","ILMN_1699383","SINE:Alu:AluJr","SINE","Alu","AluJr"
"444","ILMN_1685239","SINE:Alu:AluJb","SINE","Alu","AluJb"
"445","ILMN_1664307","LINE:CR1:L3","LINE","CR1","L3"
"446","ILMN_1882938","LTR:ERVL:LTR40a","LTR","ERVL","LTR40a"
"447","ILMN_1892598","DNA:hAT-Charlie:Charlie16a","DNA","hAT-Charlie","Charlie16a"
"453","ILMN_1718311","SINE:Alu:AluSx1","SINE","Alu","AluSx1"
"455","ILMN_1661389","LINE:L1:L1ME4a","LINE","L1","L1ME4a"
"458","ILMN_1852914","LTR:ERV1:LTR45B","LTR","ERV1","LTR45B"
"459","ILMN_3237656","SINE:Alu:AluJb","SINE","Alu","AluJb"
"460","ILMN_3237656","SINE:Alu:AluSz6","SINE","Alu","AluSz6"
"461","ILMN_1700466","SINE:Alu:AluSx1","SINE","Alu","AluSx1"
"466","ILMN_1884750","LINE:L1:L1ME1","LINE","L1","L1ME1"
"477","ILMN_3237656","SINE:Alu:AluJr","SINE","Alu","AluJr"
"500","ILMN_3278835","LTR:ERVL:MLT2B1","LTR","ERVL","MLT2B1"
"501","ILMN_1675258","SINE:MIR:MIR","SINE","MIR","MIR"
"518","ILMN_3270756","LINE:L1:L1P3","LINE","L1","L1P3"
"519","ILMN_1815104","SINE:MIR:MIR","SINE","MIR","MIR"
"520","ILMN_3270756","LINE:L1:L1P2","LINE","L1","L1P2"
"524","ILMN_3241021","scRNA:scRNA:HY4","scRNA","scRNA","HY4"
"525","ILMN_3239225","scRNA:scRNA:HY3","scRNA","scRNA","HY3"
"527","ILMN_1715075","LTR:LTR:MamRep1527","LTR","LTR","MamRep1527"
"528","ILMN_3288245","LTR:ERV1:HERVE-int","LTR","ERV1","HERVE-int"
"540","ILMN_3301585","SINE:Alu:AluJr","SINE","Alu","AluJr"
"541","ILMN_3301585","SINE:Alu:AluSx","SINE","Alu","AluSx"
"554","ILMN_1890741","LINE:L2:L2a","LINE","L2","L2a"
"558","ILMN_3185204","LINE:L1:L1PA4","LINE","L1","L1PA4"
"571","ILMN_3246984","LTR:ERV1:MER52A","LTR","ERV1","MER52A"
"575","ILMN_3240207","DNA:TcMar-Tigger:Tigger1","DNA","TcMar-Tigger","Tigger1"
"578","ILMN_1746343","LINE:L1:L1MB4","LINE","L1","L1MB4"
"579","ILMN_1788008","LINE:L2:L2a","LINE","L2","L2a"
"581","ILMN_1691361","LINE:L1:L1MB2","LINE","L1","L1MB2"
"582","ILMN_1686513","DNA:hAT-Charlie:MER5B","DNA","hAT-Charlie","MER5B"
"583","ILMN_1878326","LTR:ERV1:MER39","LTR","ERV1","MER39"
"586","ILMN_3247045","LTR:ERVL:MER21-int","LTR","ERVL","MER21-int"
"587","ILMN_1723210","LTR:ERV1:MER90","LTR","ERV1","MER90"
"590","ILMN_1901769","LTR:ERVL:MER77","LTR","ERVL","MER77"
"591","ILMN_1720536","Satellite:centr:SST1","Satellite","centr","SST1"
"592","ILMN_1666276","Satellite:centr:GSATII","Satellite","centr","GSATII"
"596","ILMN_1684922","LTR:ERV1:LTR26","LTR","ERV1","LTR26"
"597","ILMN_1709583","DNA:TcMar-Tigger:MER2","DNA","TcMar-Tigger","MER2"
"599","ILMN_1653583","DNA:TcMar-Tigger:Tigger1","DNA","TcMar-Tigger","Tigger1"
"600","ILMN_3248957","LINE:L1:L1MC3","LINE","L1","L1MC3"
"601","ILMN_1729090","LINE:L1:L1MC3","LINE","L1","L1MC3"
"602","ILMN_3240134","Low_complexity:Low_complexity:G-rich","Low_complexity","Low_complexity","G-rich"
"603","ILMN_3240134","Simple_repeat:Simple_repeat:(CAGGC)n","Simple_repeat","Simple_repeat","(CAGGC)n"
"604","ILMN_3238401","Low_complexity:Low_complexity:G-rich","Low_complexity","Low_complexity","G-rich"
"605","ILMN_3235549","Low_complexity:Low_complexity:G-rich","Low_complexity","Low_complexity","G-rich"
"606","ILMN_3295894","Low_complexity:Low_complexity:G-rich","Low_complexity","Low_complexity","G-rich"
"607","ILMN_3237109","Satellite:telo:REP522","Satellite","telo","REP522"
"608","ILMN_1651737","Satellite:telo:REP522","Satellite","telo","REP522"
"611","ILMN_1793430","LTR:ERVL-MaLR:MLT1H-int","LTR","ERVL-MaLR","MLT1H-int"
"613","ILMN_3239900","SINE:MIR:MIR","SINE","MIR","MIR"
"614","ILMN_3296607","SINE:MIR:MIR","SINE","MIR","MIR"
"615","ILMN_3202683","LTR:ERVL:LTR16C","LTR","ERVL","LTR16C"
"620","ILMN_1723210","LTR:ERV1:MER90a","LTR","ERV1","MER90a"
"621","ILMN_1659273","LTR:ERVL-MaLR:MLT1C","LTR","ERVL-MaLR","MLT1C"
"623","ILMN_1716555","Low_complexity:Low_complexity:AT_rich","Low_complexity","Low_complexity","AT_rich"
"624","ILMN_3274380","Satellite:centr:SST1","Satellite","centr","SST1"
"629","ILMN_1899183","LTR:ERV1:MER57C1","LTR","ERV1","MER57C1"
"636","ILMN_1797579","Satellite:centr:SST1","Satellite","centr","SST1"
"650","ILMN_1746343","LINE:L1:L1M4","LINE","L1","L1M4"
"658","ILMN_1788142","Satellite:telo:REP522","Satellite","telo","REP522"
"659","ILMN_1810082","LINE:L2:L2a","LINE","L2","L2a"
"662","ILMN_3295894","Low_complexity:Low_complexity:C-rich","Low_complexity","Low_complexity","C-rich"
"663","ILMN_3235549","Low_complexity:Low_complexity:C-rich","Low_complexity","Low_complexity","C-rich"
"664","ILMN_3238401","Low_complexity:Low_complexity:C-rich","Low_complexity","Low_complexity","C-rich"
"665","ILMN_3240134","Simple_repeat:Simple_repeat:(GCCTG)n","Simple_repeat","Simple_repeat","(GCCTG)n"
"666","ILMN_3240134","Low_complexity:Low_complexity:C-rich","Low_complexity","Low_complexity","C-rich"
"675","ILMN_1765781","SINE:MIR:MIR","SINE","MIR","MIR"
"723","ILMN_1660302","SINE:Alu:AluSq2","SINE","Alu","AluSq2"
"724","ILMN_1786564","Satellite:telo:REP522","Satellite","telo","REP522"
"730","ILMN_1909790","SINE:MIR:MIR","SINE","MIR","MIR"
"735","ILMN_1903069","LTR:ERVL:MER21B","LTR","ERVL","MER21B"
"736","ILMN_1655529","LINE:L1:L1MB5","LINE","L1","L1MB5"
"737","ILMN_1884150","LTR:ERV1:LTR9","LTR","ERV1","LTR9"
"738","ILMN_1888658","LINE:L1:L1M5","LINE","L1","L1M5"
"739","ILMN_1806599","LINE:L2:L2b","LINE","L2","L2b"
"740","ILMN_3247242","SINE:Alu:AluY","SINE","Alu","AluY"
"743","ILMN_3185204","LINE:L1:L1PA5","LINE","L1","L1PA5"
"745","ILMN_1668646","LTR:ERVL:MER77B","LTR","ERVL","MER77B"
"747","ILMN_2127451","SINE:Alu:AluJr","SINE","Alu","AluJr"
"749","ILMN_1682772","DNA:TcMar-Tigger:Tigger1","DNA","TcMar-Tigger","Tigger1"
"753","ILMN_1721423","LTR:ERV1:HERV3-int","LTR","ERV1","HERV3-int"
"754","ILMN_1812597","LTR:ERV1:HERV3-int","LTR","ERV1","HERV3-int"
"756","ILMN_3249578","rRNA:rRNA:LSU-rRNA_Hsa","rRNA","rRNA","LSU-rRNA_Hsa"
"757","ILMN_1733559","rRNA:rRNA:LSU-rRNA_Hsa","rRNA","rRNA","LSU-rRNA_Hsa"
"758","ILMN_3246805","rRNA:rRNA:LSU-rRNA_Hsa","rRNA","rRNA","LSU-rRNA_Hsa"
"759","ILMN_1837167","LTR:ERV1:HERVH-int","LTR","ERV1","HERVH-int"
