	orig.ident	nCount_RNA	nFeature_RNA	Sample_ID	Cell_type
T_cells_A06	T_cells	48475356.92	55436	A06	T_cells
Monocyte_A06	Monocyte	12767986.96	45899	A06	Monocyte
Myelocyte_A06	Myelocyte	911312.5518	25746	A06	Myelocyte
NK_cell_A06	NK_cell	22746434.36	52085	A06	NK_cell
Macrophage_A06	Macrophage	2308858.279	31625	A06	Macrophage
Platelets_A06	Platelets	513634.6311	17421	A06	Platelets
B_cell_A06	B_cell	6641624.195	41935	A06	B_cell
GMP_A06	GMP	2902813.385	33898	A06	GMP
Pro-Myelocyte_A06	Pro-Myelocyte	263925.6513	17974	A06	Pro-Myelocyte
Pre-B_cell_CD34-_A06	Pre-B_cell_CD34-	1179350.061	27050	A06	Pre-B_cell_CD34-
BM_A06	BM	53386.90829	2320	A06	BM
Pro-B_cell_CD34+_A06	Pro-B_cell_CD34+	1513496.278	29867	A06	Pro-B_cell_CD34+
Neurons_A06	Neurons	16133236.99	55227	A06	Neurons
Neutrophils_A06	Neutrophils	818892.1455	24874	A06	Neutrophils
Endothelial_cells_A06	Endothelial_cells	661024.5223	22563	A06	Endothelial_cells
CMP_A06	CMP	354779.222	21113	A06	CMP
Astrocyte_A06	Astrocyte	10793152.45	53558	A06	Astrocyte
DC_A06	DC	514784.4408	22722	A06	DC
Chondrocytes_A06	Chondrocytes	474746.5589	13725	A06	Chondrocytes
Hepatocytes_A06	Hepatocytes	313763.4043	8805	A06	Hepatocytes
Gametocytes_A06	Gametocytes	501762.2475	12799	A06	Gametocytes
Smooth_muscle_cells_A06	Smooth_muscle_cells	904853.1158	29368	A06	Smooth_muscle_cells
MEP_A06	MEP	1030575.959	26950	A06	MEP
Tissue_stem_cells_A06	Tissue_stem_cells	37238.47543	1490	A06	Tissue_stem_cells
Neuroepithelial_cell_A06	Neuroepithelial_cell	682068.7921	16217	A06	Neuroepithelial_cell
HSC_CD34+_A06	HSC_CD34+	419279.1378	19555	A06	HSC_CD34+
iPS_cells_A06	iPS_cells	67212.14113	2546	A06	iPS_cells
